"11br -- Deaths, age-standardised and crude deaths rates by underlying cause of death (time series classification) and gender, whole population and persons aged 15-64, 1971-2020"

"Gender","Underlying cause of death (time series classification)","Year","Deaths, whole population"
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1980",2692
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1981",2778
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1982",2558
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1983",2634
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1984",2496
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1985",2733
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1986",2731
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1987",2224
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1988",2442
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1989",2275
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1990",2365
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1991",2399
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1992",2279
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1993",2079
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1994",1861
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1995",1824
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1996",1792
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1997",1864
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1998",1780
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1999",1689
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2000",1624
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2001",1694
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2002",1644
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2003",1637
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2004",1587
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2005",1663
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2006",1845
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2007",1956
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2008",1984
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2009",2020
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2010",2030
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2011",2150
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2012",1971
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2013",1806
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2014",1844
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2015",1768
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2016",1836
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2017",1755
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2018",1766
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2019",1689
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","2020",1638
"Total","29 Cerebrovascular diseases (I60-I69)","1971",6010
"Total","29 Cerebrovascular diseases (I60-I69)","1972",5545
"Total","29 Cerebrovascular diseases (I60-I69)","1973",5355
"Total","29 Cerebrovascular diseases (I60-I69)","1974",5275
"Total","29 Cerebrovascular diseases (I60-I69)","1975",5154
"Total","29 Cerebrovascular diseases (I60-I69)","1976",5191
"Total","29 Cerebrovascular diseases (I60-I69)","1977",5165
"Total","29 Cerebrovascular diseases (I60-I69)","1978",5300
"Total","29 Cerebrovascular diseases (I60-I69)","1979",5062
"Total","29 Cerebrovascular diseases (I60-I69)","1980",5080
"Total","29 Cerebrovascular diseases (I60-I69)","1981",5543
"Total","29 Cerebrovascular diseases (I60-I69)","1982",5234
"Total","29 Cerebrovascular diseases (I60-I69)","1983",5464
"Total","29 Cerebrovascular diseases (I60-I69)","1984",5375
"Total","29 Cerebrovascular diseases (I60-I69)","1985",5779
"Total","29 Cerebrovascular diseases (I60-I69)","1986",5744
"Total","29 Cerebrovascular diseases (I60-I69)","1987",5694
"Total","29 Cerebrovascular diseases (I60-I69)","1988",5419
"Total","29 Cerebrovascular diseases (I60-I69)","1989",5438
"Total","29 Cerebrovascular diseases (I60-I69)","1990",5528
"Total","29 Cerebrovascular diseases (I60-I69)","1991",5562
"Total","29 Cerebrovascular diseases (I60-I69)","1992",5327
"Total","29 Cerebrovascular diseases (I60-I69)","1993",5687
"Total","29 Cerebrovascular diseases (I60-I69)","1994",5150
"Total","29 Cerebrovascular diseases (I60-I69)","1995",5504
"Total","29 Cerebrovascular diseases (I60-I69)","1996",5296
"Total","29 Cerebrovascular diseases (I60-I69)","1997",5303
"Total","29 Cerebrovascular diseases (I60-I69)","1998",5031
"Total","29 Cerebrovascular diseases (I60-I69)","1999",4991
"Total","29 Cerebrovascular diseases (I60-I69)","2000",5020
"Total","29 Cerebrovascular diseases (I60-I69)","2001",4871
"Total","29 Cerebrovascular diseases (I60-I69)","2002",4838
"Total","29 Cerebrovascular diseases (I60-I69)","2003",4877
"Total","29 Cerebrovascular diseases (I60-I69)","2004",4606
"Total","29 Cerebrovascular diseases (I60-I69)","2005",4461
"Total","29 Cerebrovascular diseases (I60-I69)","2006",4538
"Total","29 Cerebrovascular diseases (I60-I69)","2007",4346
"Total","29 Cerebrovascular diseases (I60-I69)","2008",4246
"Total","29 Cerebrovascular diseases (I60-I69)","2009",4380
"Total","29 Cerebrovascular diseases (I60-I69)","2010",4235
"Total","29 Cerebrovascular diseases (I60-I69)","2011",4346
"Total","29 Cerebrovascular diseases (I60-I69)","2012",4498
"Total","29 Cerebrovascular diseases (I60-I69)","2013",4419
"Total","29 Cerebrovascular diseases (I60-I69)","2014",4428
"Total","29 Cerebrovascular diseases (I60-I69)","2015",4299
"Total","29 Cerebrovascular diseases (I60-I69)","2016",4378
"Total","29 Cerebrovascular diseases (I60-I69)","2017",4044
"Total","29 Cerebrovascular diseases (I60-I69)","2018",4043
"Total","29 Cerebrovascular diseases (I60-I69)","2019",3991
"Total","29 Cerebrovascular diseases (I60-I69)","2020",4026
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1971",2574
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1972",2544
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1973",2523
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1974",2642
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1975",2587
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1976",2572
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1977",2423
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1978",2487
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1979",2316
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1980",2263
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1981",2331
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1982",2269
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1983",2198
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1984",2158
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1985",2258
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1986",2128
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1987",2211
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1988",2127
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1989",2020
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1990",2005
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1991",1945
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1992",1881
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1993",1817
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1994",1768
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1995",1658
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1996",1859
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1997",1789
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1998",1784
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","1999",1741
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2000",1760
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2001",1691
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2002",1833
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2003",1847
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2004",1825
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2005",1797
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2006",1762
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2007",2004
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2008",2153
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2009",2301
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2010",2443
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2011",2492
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2012",2642
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2013",2771
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2014",2946
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2015",3089
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2016",3268
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2017",3417
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2018",3565
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2019",3957
"Total","30 Other diseases of the circulatory system (I00-I15, I26-I28, I70-I99)","2020",4232
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1971",3911
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1972",3187
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1973",3118
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1974",3140
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1975",3311
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1976",3578
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1977",3455
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1978",2964
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1979",2958
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1980",3751
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1981",2982
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1982",2644
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1983",3392
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1984",2923
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1985",3824
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1986",3244
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1987",3177
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1988",3451
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1989",3522
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1990",3750
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1991",3451
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1992",3638
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1993",4337
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1994",3650
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1995",3761
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1996",4214
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1997",3999
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1998",4096
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","1999",4178
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2000",4293
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2001",3838
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2002",3864
"Total","31-35 Diseases of the respiratory system (J00-J64, J66-J99)","2003",3667
